0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:56 +0800] "GET /EducationalSystem/echarts.min.js HTTP/1.1" 200 526886
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:56 +0800] "GET /EducationalSystem/easyui/themes/icons/chart_bar.png HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:56 +0800] "GET /EducationalSystem/easyui/themes/icons/print.png HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:57 +0800] "POST /EducationalSystem/AdminServlet?method=scoreList HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:59 +0800] "GET /EducationalSystem/AdminServlet?method=StudentListView HTTP/1.1" 200 13247
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:59 +0800] "GET /EducationalSystem/easyui/themes/icons/basket_remove.png HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:11:59 +0800] "POST /EducationalSystem/AdminServlet?method=studentList HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:12:02 +0800] "GET /EducationalSystem/AdminServlet?method=TeacherListView HTTP/1.1" 200 11733
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:12:02 +0800] "POST /EducationalSystem/AdminServlet?method=teacherList HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:12:09 +0800] "GET /EducationalSystem/AdminServlet?method=UserListView HTTP/1.1" 200 11894
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:12:09 +0800] "POST /EducationalSystem/AdminServlet?method=userList HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:12:12 +0800] "GET /EducationalSystem/TeacherServlet?method=CourseScoreView HTTP/1.1" 200 5540
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:12:12 +0800] "GET /EducationalSystem/easyui/themes/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [23/Aug/2024:16:12:12 +0800] "POST /EducationalSystem/TeacherServlet?method=courseList HTTP/1.1" 200 1526
